POA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
POA6056,162,248,416,223,122,344,0,0,0,0,0,0,9,18,27,6417,5479,11898,416,479,899,186,5,191,79,13,91,100,15,117,187,49,234,184,193,374,7955,6622,14582,83,74,154,0,0,0,0,0,0,101,136,241,11,19,31,14,3,15,206,241,444,0,0,0,0,0,0,15,9,25,10,8,17,4,0,9,25,19,45,72,33,106,306,291,596,28,40,75,8,0,8,3,5,9,40,49,87,250,374,628,809,1006,1818,131,80,212,9495,8422,17918
POA6057,16,32,50,190,125,313,3,0,3,0,0,0,6,0,13,3093,2678,5772,207,171,378,104,4,103,38,3,38,34,3,32,90,17,106,52,51,97,3828,3083,6909,6,17,23,0,0,0,0,0,0,22,28,58,3,3,8,0,0,0,37,55,92,0,0,0,0,0,0,10,17,23,5,6,9,3,0,3,16,16,37,38,29,62,95,97,192,3,5,12,4,0,4,6,0,6,9,5,21,92,174,266,331,431,758,42,35,79,4395,3828,8219
POA6058,4,22,28,122,81,199,0,0,0,0,0,0,4,3,5,2384,1904,4289,157,164,322,60,4,67,30,3,30,16,0,18,69,22,97,32,53,89,2885,2254,5145,8,10,13,0,0,0,0,0,0,25,26,50,0,0,0,0,0,0,33,35,72,0,0,0,0,0,0,10,11,16,7,11,18,0,3,4,12,22,36,20,16,35,65,74,135,7,10,19,0,0,0,3,0,3,13,17,25,54,87,145,270,329,596,31,22,56,3317,2785,6098
POA6059,23,37,53,397,421,815,0,0,0,0,0,0,22,12,33,4085,3382,7464,205,360,562,58,0,63,59,7,62,82,12,97,63,21,83,49,67,116,5039,4305,9349,33,23,60,0,0,0,0,0,0,8,23,28,4,4,8,0,0,0,39,52,93,0,0,0,0,0,0,25,30,55,12,14,22,4,0,5,41,42,87,50,20,68,130,117,242,11,11,17,5,5,11,4,0,3,23,16,37,185,251,434,410,577,985,50,66,110,5839,5323,11159
POA6060,77,101,176,462,520,981,0,0,3,0,0,0,17,14,25,4249,3750,8001,201,370,573,35,0,35,62,9,74,103,34,141,102,27,127,92,75,167,5403,4903,10307,84,126,205,0,0,0,0,0,0,26,29,51,3,8,12,3,0,4,119,157,277,0,0,0,0,0,0,15,29,45,8,22,35,15,7,22,39,67,103,28,19,49,185,242,435,19,24,47,3,6,5,3,0,7,32,32,59,158,184,342,383,668,1050,53,36,88,6211,6058,12275
POA6061,80,108,190,452,530,980,0,0,0,0,0,3,58,21,82,6612,4697,11312,414,579,997,101,3,101,93,9,106,67,12,74,115,53,169,71,72,141,8072,6080,14157,69,137,207,0,0,0,0,0,0,48,49,98,8,16,23,0,3,3,123,207,333,0,0,0,0,0,0,30,23,47,14,36,50,7,4,13,48,65,113,82,46,123,260,310,567,41,47,81,5,10,10,3,0,3,47,54,97,135,206,341,565,789,1359,128,79,206,9201,7521,16723
POA6062,86,114,199,357,458,811,0,0,0,0,0,0,22,9,27,5922,4577,10505,317,468,783,105,3,108,52,7,61,94,13,115,119,39,154,81,107,190,7158,5797,12960,53,42,103,0,0,0,0,0,0,59,78,131,8,13,24,0,0,0,120,135,254,0,0,0,0,0,0,39,37,77,23,34,52,9,0,7,67,71,142,70,34,104,262,240,506,19,28,51,3,4,7,3,0,4,30,35,61,157,282,441,527,780,1311,95,58,151,8229,7197,15422
POA6063,48,56,104,95,85,184,0,0,0,0,0,0,16,3,20,2560,1977,4538,146,211,357,60,3,65,23,0,20,21,4,31,53,13,63,21,26,54,3045,2383,5430,45,29,75,0,0,0,0,0,0,45,34,77,5,8,11,0,0,0,90,74,163,0,0,0,0,0,0,12,13,32,5,7,14,0,3,4,22,26,48,26,5,36,139,106,247,12,20,35,0,0,4,0,0,0,12,26,35,36,104,144,250,286,537,49,31,77,3535,2931,6464
POA6064,76,111,186,191,156,343,5,0,5,0,0,0,25,12,38,5306,4036,9341,382,446,825,116,4,115,50,0,51,41,4,47,97,25,124,47,52,100,6335,4851,11180,65,69,133,0,0,0,0,0,0,67,67,134,9,17,22,0,0,6,135,156,294,0,0,0,0,0,0,14,16,33,8,18,24,4,0,6,32,30,63,71,37,103,233,227,462,24,45,72,4,0,4,6,3,9,39,51,87,112,215,329,467,603,1063,89,87,174,7272,6022,13299
POA6065,296,401,696,406,193,596,3,0,7,0,0,0,34,19,51,11565,9667,21228,742,848,1592,249,7,256,111,12,121,68,11,77,298,58,357,167,146,318,13934,11368,25302,237,203,441,0,0,0,0,0,0,286,252,538,31,35,68,14,0,14,564,492,1052,0,0,0,0,0,0,17,17,35,17,19,33,8,4,8,43,38,80,130,52,185,740,578,1318,95,89,187,5,0,6,3,0,4,104,96,199,332,764,1092,1202,1751,2954,149,112,253,16449,14663,31113
POA6066,11,18,27,190,174,370,3,0,3,0,0,0,10,5,20,3499,2930,6425,223,303,527,69,5,74,33,3,39,30,6,34,72,19,92,41,43,89,4189,3502,7695,10,22,33,0,0,0,0,0,0,24,17,45,0,4,3,0,0,0,39,44,84,0,0,0,0,0,0,13,21,34,6,11,22,0,0,0,23,33,59,36,10,52,106,89,190,9,12,21,0,0,0,0,0,0,9,11,26,100,148,245,330,485,823,69,43,108,4798,4287,9088
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4
POA6069,49,73,122,277,120,395,0,0,0,0,0,3,18,6,24,7047,6125,13175,398,484,888,128,3,134,88,0,85,53,14,59,243,50,295,124,128,253,8432,7011,15444,77,78,155,0,0,0,0,0,0,123,157,281,10,11,21,0,0,0,221,247,467,0,0,0,0,0,0,12,16,29,5,17,23,12,0,12,27,30,56,96,30,133,340,312,656,33,53,81,5,3,11,5,3,6,42,55,94,192,469,658,898,1063,1961,73,57,131,9974,8965,18938
POA6070,15,20,34,12,7,24,0,0,0,0,0,0,0,0,0,619,534,1152,35,28,68,12,0,12,12,0,12,12,0,12,15,7,14,12,13,21,743,607,1353,4,3,8,0,0,0,0,0,0,33,20,51,3,4,7,0,0,0,37,28,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,11,44,34,84,0,5,6,0,0,0,0,0,0,0,5,6,47,73,120,55,88,145,9,11,24,904,827,1727
POA6071,12,15,23,20,12,26,0,0,0,0,0,0,0,0,0,556,572,1123,22,32,58,15,0,15,9,0,12,0,0,0,5,8,15,15,11,27,662,648,1305,4,7,5,0,0,0,0,0,0,33,17,51,0,0,0,0,0,0,30,25,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,13,43,27,71,3,6,3,3,0,3,0,0,0,5,6,8,42,59,101,83,102,188,13,4,18,845,841,1686
POA6072,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,161,128,285,4,12,16,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,173,143,321,0,3,3,0,0,0,0,0,0,4,4,15,0,0,0,0,0,0,7,11,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,3,12,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,24,20,38,3,3,7,214,184,397
POA6073,0,8,6,12,10,19,0,0,0,0,0,0,0,0,0,469,423,894,21,29,50,11,0,11,6,0,10,6,0,5,11,4,19,13,21,36,560,493,1052,0,0,0,0,0,0,0,0,0,16,8,25,0,0,0,0,0,0,18,14,29,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,5,8,0,8,29,17,47,4,0,4,0,0,0,0,0,0,5,0,8,42,45,85,71,90,165,3,10,19,717,658,1378
POA6074,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,179,131,318,12,5,15,7,0,7,0,0,0,0,0,3,7,0,9,0,3,4,215,144,362,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,8,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,13,3,0,3,0,0,0,0,0,0,3,0,3,7,25,33,25,27,53,9,3,16,260,211,473
POA6076,27,31,59,163,80,240,0,0,0,0,0,3,6,0,9,3534,3108,6647,184,215,399,117,7,116,49,0,46,41,0,45,79,17,102,106,89,195,4295,3550,7851,17,7,22,0,0,0,0,0,0,64,44,107,3,8,12,0,0,0,84,57,138,0,0,0,0,0,0,11,10,20,0,4,8,4,0,4,13,16,31,43,14,55,140,86,226,3,4,5,3,0,3,3,0,3,9,6,16,248,351,596,487,612,1107,40,30,73,5221,4644,9865
POA6077,4,10,13,3,0,3,0,0,0,0,0,0,0,0,0,242,198,443,7,12,24,33,0,33,0,0,0,0,0,0,8,3,11,9,3,13,311,223,533,0,0,0,0,0,0,0,0,0,3,4,9,3,0,3,0,0,0,6,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,14,4,0,3,0,0,0,0,0,0,5,0,5,28,52,78,21,35,62,4,3,10,374,325,694
POA6078,3,6,10,5,3,9,0,0,0,0,0,0,0,0,0,161,108,270,11,7,18,17,0,17,0,0,0,0,0,0,4,3,4,4,6,11,206,128,335,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,28,37,63,25,26,53,3,6,11,264,200,464
POA6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,4,12
POA6081,10,11,21,33,9,38,0,0,0,0,0,0,0,0,0,820,750,1575,45,49,94,43,0,44,14,0,14,3,0,7,23,6,31,16,11,27,1016,841,1854,5,0,11,0,0,0,0,0,0,21,20,42,0,0,3,0,0,0,25,28,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,8,38,28,65,3,0,3,0,0,0,0,0,0,3,0,3,52,90,143,123,132,253,13,10,22,1234,1109,2341
POA6082,3,5,9,24,3,30,0,0,0,0,0,0,0,0,0,551,502,1052,37,37,74,25,0,30,8,0,8,0,4,3,18,4,24,13,15,26,686,571,1260,0,0,0,0,0,0,0,0,0,10,10,23,0,0,3,0,0,0,13,19,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,16,21,42,3,4,3,0,0,0,0,0,0,3,4,10,26,44,74,74,79,154,10,5,8,819,725,1541
POA6083,9,3,10,23,3,26,0,0,0,0,0,0,0,0,0,604,527,1128,35,28,65,39,3,36,6,0,11,0,0,0,21,12,30,18,12,33,751,585,1341,0,0,0,0,0,0,0,0,0,17,24,41,0,0,4,0,0,0,17,23,42,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,3,3,6,3,11,29,28,55,0,3,3,0,0,0,0,0,0,0,3,3,67,98,162,82,109,189,14,13,24,945,831,1774
POA6084,3,9,12,39,8,54,0,0,0,0,0,0,0,0,0,1336,1209,2547,60,74,130,93,4,91,7,0,8,19,6,16,47,9,59,74,36,111,1677,1358,3031,0,0,0,0,0,0,0,0,0,24,28,52,3,0,10,0,0,0,29,33,59,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,4,0,3,15,4,14,40,39,80,0,3,7,0,0,0,0,0,0,3,3,7,96,156,258,238,249,491,34,27,61,2090,1839,3930
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
POA6100,144,149,289,468,470,939,0,0,0,0,3,3,13,11,20,2544,1886,4427,157,221,375,23,0,22,38,4,45,128,42,170,71,30,95,136,118,254,3725,2929,6649,62,43,98,0,0,0,0,0,0,6,4,9,4,4,9,3,4,7,73,54,126,0,0,0,0,0,0,5,9,13,11,19,27,9,5,9,21,29,50,27,10,38,118,96,215,15,15,28,10,5,9,0,0,0,20,22,42,133,143,276,311,430,738,43,27,68,4351,3643,7990
POA6101,179,190,370,347,369,722,0,0,0,3,0,3,16,3,24,2734,2256,4992,152,211,363,22,0,29,40,6,49,129,47,177,70,26,90,102,120,221,3800,3235,7035,49,68,120,0,0,0,0,0,0,15,19,31,3,3,7,7,0,11,79,89,168,0,0,0,0,0,0,15,9,21,3,8,19,6,3,11,23,27,50,28,16,48,132,134,267,17,10,27,3,3,4,3,0,3,23,10,34,115,151,268,277,486,770,49,28,73,4394,4048,8441
POA6102,47,50,91,238,271,504,0,0,3,0,0,0,12,7,23,1968,1332,3301,94,160,257,16,0,14,27,9,34,50,7,57,38,16,49,82,59,140,2569,1905,4474,32,42,78,0,0,0,0,0,0,13,9,18,3,3,3,0,0,0,52,53,107,0,0,0,0,0,0,12,10,22,11,14,17,4,3,6,26,23,53,31,14,42,105,89,198,10,11,24,3,4,10,0,0,0,16,11,33,44,55,98,262,290,557,41,25,64,3042,2382,5425
POA6103,35,30,69,260,264,522,0,0,0,0,0,0,16,7,25,1850,1349,3200,90,155,252,17,0,17,35,3,42,57,7,69,54,17,72,45,32,78,2469,1872,4345,26,31,53,0,0,0,0,0,0,7,9,19,3,5,6,0,0,0,33,45,82,0,0,0,0,0,0,10,3,13,3,4,13,6,3,8,25,15,40,18,14,40,77,77,153,8,12,18,3,6,4,0,0,5,9,18,31,66,55,120,214,231,449,27,21,52,2875,2268,5146
POA6104,12,29,41,227,228,456,3,0,3,0,0,0,17,8,24,2502,1938,4440,165,209,373,35,3,35,31,0,28,69,10,76,72,21,102,65,66,127,3192,2515,5708,24,26,53,0,0,0,0,0,0,24,17,38,0,0,0,0,0,0,49,51,95,0,0,0,0,0,0,8,18,25,7,20,20,9,0,8,17,39,55,36,18,55,102,104,209,12,11,23,7,3,11,0,0,3,13,14,34,76,119,196,285,329,615,53,26,81,3719,3114,6841
POA6105,29,55,80,188,235,424,3,0,3,0,0,0,21,10,29,2579,1774,4354,163,203,364,42,0,41,33,5,35,45,19,62,54,21,78,48,81,131,3207,2398,5610,39,38,80,0,0,0,0,0,0,16,20,30,3,3,5,0,0,0,61,59,119,0,0,0,0,0,0,17,11,26,9,7,15,5,0,3,28,18,51,34,7,42,119,89,211,7,12,16,0,0,0,0,0,3,8,12,19,51,91,142,240,317,553,38,38,77,3667,2946,6615
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
POA6107,472,560,1035,346,320,664,5,0,5,0,0,0,51,14,63,8020,5277,13302,461,642,1104,144,6,155,55,4,61,101,26,129,192,46,235,125,125,250,9978,7016,16999,106,202,310,0,0,0,0,0,0,81,73,152,9,34,50,21,9,25,221,316,539,0,0,0,0,0,0,20,18,47,11,26,38,4,4,14,42,52,97,86,44,135,344,416,765,52,66,119,3,3,4,3,0,8,54,74,126,157,325,485,816,990,1804,152,64,218,11505,8891,20395
POA6108,145,185,332,168,104,278,0,0,0,0,0,0,17,3,20,4063,3204,7260,238,306,539,86,3,88,50,4,49,37,9,44,99,17,116,53,43,98,4957,3864,8821,114,106,225,0,0,0,0,0,0,50,58,106,14,20,26,7,0,7,186,179,368,0,0,0,0,0,0,10,14,23,5,10,20,6,0,6,17,25,43,56,17,71,261,222,482,28,37,58,3,0,3,0,5,4,27,40,66,96,182,278,431,575,1006,59,43,100,5834,4918,10756
POA6109,71,69,142,49,36,92,0,0,0,0,0,0,11,0,13,2027,1231,3261,142,142,281,52,3,51,11,0,12,22,8,33,47,13,56,44,33,78,2482,1546,4022,20,53,72,0,0,0,0,0,0,15,15,24,7,6,14,0,3,3,45,70,112,0,0,0,0,0,0,0,5,5,0,3,3,0,0,3,0,10,12,28,10,43,75,94,166,18,20,36,0,0,0,0,0,0,14,20,36,60,69,127,219,218,435,47,29,79,2893,1970,4869
POA6110,187,257,446,215,120,328,0,0,0,0,0,0,29,3,26,7055,5349,12402,415,486,898,148,0,152,77,0,77,41,13,53,173,36,214,85,85,173,8415,6354,14766,166,157,321,0,0,0,0,0,0,79,119,197,18,22,36,3,0,8,274,297,565,0,0,0,0,0,0,9,10,20,7,15,19,6,0,12,21,26,51,82,43,123,380,357,733,59,55,109,6,0,6,0,0,0,66,55,123,161,310,471,760,912,1664,99,65,170,9878,8060,17934
POA6111,200,163,360,81,28,108,3,0,3,0,0,0,8,3,8,3837,3128,6966,240,224,464,128,7,131,55,4,57,32,6,41,97,30,130,69,67,136,4745,3669,8412,49,62,113,0,0,0,0,0,0,38,56,96,12,13,20,6,0,9,107,131,241,0,0,0,0,0,0,3,3,4,0,0,4,3,0,3,8,8,10,38,14,55,153,154,305,19,30,46,0,0,0,3,0,3,23,30,52,177,249,424,483,633,1114,65,42,106,5646,4774,10418
POA6112,342,386,726,304,124,428,3,3,4,0,3,4,33,14,42,9994,7929,17922,586,616,1205,188,7,189,99,6,110,53,18,70,248,52,299,143,136,275,11991,9294,21283,195,149,344,0,0,0,0,0,0,155,183,340,28,38,65,10,0,11,385,372,759,3,0,3,0,0,0,9,14,24,6,16,20,7,3,8,22,34,54,90,42,137,502,448,949,64,104,167,6,4,7,3,0,3,72,111,183,241,468,711,1073,1421,2491,149,116,271,14026,11859,25883
POA6121,8,10,19,13,3,10,0,0,0,0,0,0,3,0,3,518,479,991,25,26,55,55,0,62,11,0,11,0,0,0,14,3,15,21,18,43,671,548,1217,0,3,3,0,0,0,0,0,0,13,9,23,0,0,0,0,0,0,16,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,24,14,34,0,4,6,0,0,0,0,0,0,0,4,6,56,92,155,71,77,146,3,3,8,825,742,1559
POA6122,50,61,109,128,25,153,0,0,0,0,0,0,5,0,8,3266,2789,6057,202,153,352,101,6,112,34,3,30,10,0,18,111,32,147,41,31,73,3953,3108,7058,19,19,40,0,0,0,0,0,0,44,62,112,0,10,12,3,0,3,66,94,165,0,0,0,0,0,0,3,3,11,7,4,8,4,0,4,14,7,16,50,24,77,126,125,260,19,21,43,3,0,3,3,0,3,29,21,50,65,164,228,361,476,841,46,19,62,4582,3913,8498
POA6123,6,3,6,11,3,12,0,0,0,0,0,0,0,0,0,277,206,488,21,8,27,16,0,19,3,0,3,0,0,0,8,3,13,6,3,14,351,230,578,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,11,10,0,3,3,0,0,0,0,0,0,0,3,3,7,8,22,44,46,92,4,5,8,415,299,719
POA6124,0,3,4,7,3,13,0,0,0,0,0,0,0,0,0,167,160,322,10,6,15,7,0,5,0,0,0,0,0,0,10,0,9,9,6,19,213,177,389,0,0,0,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,8,7,6,0,0,3,0,0,0,0,0,0,0,0,3,16,28,38,44,45,94,3,0,3,285,258,544
POA6125,4,5,9,23,3,25,0,0,0,0,0,0,0,0,0,473,406,881,33,18,51,47,3,49,10,0,9,0,0,0,12,6,20,32,24,50,626,464,1092,0,0,0,0,0,0,0,0,0,6,13,15,0,0,0,0,0,0,6,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,9,16,25,0,3,3,0,0,0,0,0,0,0,3,3,51,81,137,85,87,172,8,9,16,789,655,1443
POA6126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,30,67,0,0,0,8,0,8,3,0,4,0,0,0,0,0,0,7,5,9,53,32,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,22,3,17,18,0,0,0,67,61,128
POA6147,56,70,123,124,92,216,5,0,5,3,0,3,4,0,4,2707,2014,4722,160,189,348,30,0,30,13,0,13,41,4,50,62,14,77,43,34,73,3251,2422,5668,92,90,185,0,0,0,0,0,0,50,48,95,5,12,15,0,0,0,151,151,304,0,0,0,0,0,0,8,19,28,6,13,17,4,0,4,22,26,47,24,17,41,199,194,392,24,26,51,3,3,3,0,0,3,29,32,60,59,82,137,256,326,583,40,27,69,3832,3091,6922
POA6148,86,76,162,115,85,201,0,0,0,0,0,0,15,0,15,2796,2367,5164,139,208,350,29,3,30,28,7,28,107,23,131,52,20,70,44,51,92,3412,2836,6246,125,113,240,0,0,0,0,0,0,48,43,92,0,9,8,10,0,7,185,167,351,0,0,0,0,0,0,12,10,19,4,7,15,3,0,5,16,16,37,33,19,54,243,198,441,29,30,62,0,0,0,0,0,5,28,36,65,134,205,341,350,474,822,32,27,61,4196,3779,7972
POA6149,181,154,336,96,49,148,0,0,0,0,0,0,6,0,11,3103,2677,5778,151,230,383,35,0,35,31,0,31,93,17,113,67,11,70,59,66,121,3828,3208,7031,189,141,331,0,0,0,0,0,0,46,52,101,3,18,26,18,0,25,262,218,480,0,0,0,0,0,0,0,0,4,0,9,8,3,3,4,8,11,15,29,11,45,294,240,542,42,32,76,0,0,0,0,0,0,40,32,73,171,248,419,367,563,930,31,22,58,4742,4317,9054
POA6150,137,102,240,83,71,147,0,0,0,0,0,0,9,0,14,2008,1656,3666,101,172,274,20,0,20,15,0,15,55,16,76,29,14,41,54,56,109,2514,2089,4601,116,70,187,0,0,0,0,0,0,23,40,62,6,10,13,5,0,5,148,123,265,0,0,0,0,0,0,3,4,5,0,4,7,0,5,5,3,16,20,18,13,32,168,154,318,25,18,48,3,0,3,0,0,0,31,18,50,128,163,294,269,376,645,31,37,67,3139,2838,5977
POA6151,23,7,30,459,421,881,24,11,31,3,5,9,11,17,32,2689,2259,4951,138,200,344,13,0,13,43,5,49,207,62,263,66,25,92,118,127,249,3792,3140,6929,33,41,69,0,0,0,0,0,0,0,11,9,0,4,4,0,0,0,31,52,83,10,4,11,0,0,0,13,12,32,6,16,16,12,4,18,37,38,76,45,26,70,115,114,233,5,6,13,9,5,16,0,0,3,16,9,29,209,248,461,313,446,768,28,23,54,4484,3984,8469
POA6152,175,152,327,403,408,808,5,0,5,0,0,3,18,11,37,4014,3648,7656,189,338,527,28,0,28,36,7,39,205,54,256,66,30,94,155,116,270,5289,4758,10050,93,81,170,0,0,0,0,0,0,26,27,52,10,5,10,7,3,11,131,111,247,0,3,3,0,0,0,20,15,31,6,22,25,14,0,20,42,35,80,51,25,78,233,175,405,16,25,39,7,5,13,0,0,0,30,24,53,244,300,544,431,716,1149,65,41,103,6286,6016,12295
POA6153,104,93,203,354,275,620,3,0,4,0,0,0,15,7,20,3194,2704,5896,140,250,388,31,0,31,24,0,31,117,37,162,63,25,86,82,82,165,4129,3467,7597,69,65,138,0,0,0,0,0,0,9,10,14,4,4,9,3,0,3,85,81,164,0,0,0,0,0,0,9,9,11,6,8,15,3,6,9,15,20,35,32,22,49,137,120,253,18,13,30,3,0,3,3,0,3,26,13,40,299,357,660,345,569,910,30,20,44,4965,4544,9505
